Article_Title,Year,Description,Revue,Volume,Number,Pages
Multiscale biological tissue models and flux-limited chemotaxis for multicellular growing systems,2010,"Mathematical Models and Methods in Applied Sciences 20 (07), 1179-1207, 2010",Mathematical Models and Methods in Applied Sciences,20,07,11791207
Mathematical modeling of complex biological systems,2006,"Birkhũser Boston, 2006","Birkhũser Boston,",,,
Mathematical topics on the modelling complex multicellular systems and tumor immune cells competition,2004,"Mathematical Models and Methods in Applied Sciences 14 (11), 1683-1733, 2004",Mathematical Models and Methods in Applied Sciences,14,11,16831733
On the asymptotic theory from microscopic to macroscopic growing tissue models: An overview with perspectives,2012,"Mathematical Models and Methods in Applied Sciences 22 (01), 1130001, 2012",Mathematical Models and Methods in Applied Sciences,22,01,1130001
Mathematical methods and tools of kinetic theory towards modelling complex biological systems,2005,"Mathematical models and methods in applied sciences 15 (11), 1639-1666, 2005",Mathematical models and methods in applied sciences,15,11,16391666
Multicellular biological growing systems: Hyperbolic limits towards macroscopic description,2007,"Mathematical Models and Methods in Applied Sciences 17 (supp01), 1675-1692, 2007",Mathematical Models and Methods in Applied Sciences,17,01,16751692
From the microscale to collective crowd dynamics,2013,"Multiscale Modeling & Simulation 11 (3), 943-963, 2013",Multiscale Modeling & Simulation,11,3,943963
From the modeling of the immune hallmarks of cancer to a black swan in biology,2013,"Mathematical Models and Methods in Applied Sciences 23 (05), 949-978, 2013",Mathematical Models and Methods in Applied Sciences,23,05,949978
From a multiscale derivation of nonlinear cross-diffusion models to Keller–Segel models in a Navier–Stokes fluid,2016,"Mathematical Models and Methods in Applied Sciences 26 (11), 2041-2069, 2016",Mathematical Models and Methods in Applied Sciences,26,11,20412069
Towards the modeling of vehicular traffic as a complex system: A kinetic theory approach,2012,"Mathematical models and methods in applied sciences 22 (supp01), 1140003, 2012",Mathematical models and methods in applied sciences,22,01,1140003
Modelling Complex Multicellular Systems-A Kinetic Theory Approach,2006,"Birkäuser, Boston, 2006","Birkäuser, Boston,",,,
On multiscale models of pedestrian crowds from mesoscopic to macroscopic,2015,"Communications in Mathematical Sciences 13 (7), 1649-1664, 2015",Communications in Mathematical Sciences,13,7,16491664
A quest towards a mathematical theory of living systems,2017,"Springer International Publishing, 2017","Springer International Publishing,",,,
ON THE MULTISCALE MODELING OF VEHICULAR TRAFFIC: FROM KINETIC TO HYDRODYNAMICS.,2014,"Discrete & Continuous Dynamical Systems-Series B 19 (7), 2014",Discrete & Continuous Dynamical Systems-Series B,19,7,
On the modeling of crowd dynamics: Looking at the beautiful shapes of swarms.,2011,"Networks Heterog. Media 6 (3), 383-399, 2011",Networks Heterog. Media,6,3,383399
M. Winkler Toward a mathematical theory of Keller-Segel models of pattern formation in biological tissues,2015,"Math. Models Methods Appl. Sci 25 (9), 1663-1763, 2015",Math. Models Methods Appl. Sci,25,9,16631763
