Nom et Prénom,ASS - Unevercity,Spciality,H indice global,Citations global,H indice_I10 global,H indice depuis 2018,Citations depuis 2018,H indice_I10 depuis 2018,Article,faculty
aklalouch mohamed,"Enseignant-Chercheur,Université Cadi Ayyad","Materials Science, Energie storage, Electrochemistry, Li-ion Batteries.",9,519,9,9,167,8,20,Other
mohammed hassani,professeur de mathématiquesUniversité Cadi Ayyad,Calcul Stochasitque,13,519,13,9,223,9,20,FSSM
Charaf HAJJAJ,"Higher School of Technology of Essaouira,Cadi Ayyad University","Photovoltaic systems, Prediction, PVT systems, Soling, Photovoltaic module degradation",12,485,15,12,483,15,20,ESTE
Ahmed Daassou,UCA- FPS - Safi- Morocco,physics- Black Hole Thermodynamics- Exoplanets - Cosmology,11,484,11,10,413,10,20,FPS
adib ghaleb,Cadi ayyad university,Drug discovery and computational chemistry,13,453,16,13,447,15,20,Other
Mohammed Jaffal,"Cadi Ayyad University, Marrakech, Morocco",Applied Geophysics,12,438,16,8,230,7,20,Other
Said Boulite,"Associate professor ,Cadi Ayyad University Marrakech","Evolution equations, Control theory, Positive systems",10,436,10,5,157,2,20,Other
Ismail Essadi,"Professeur d'oncologie médicale,université cadi Ayyad Marrakech",,11,428,11,7,291,5,20,FMPM
Haytem Moussaoui,"Team of Solar Energy and Medicinal Plants, Teacher’s Training College,Cadi Ayyad University, BP","Solar energy, food processing, food quality, sorption isotherms, thermophysical characterization",10,420,11,10,420,11,20,Other
Moha Berraho,Professeuruniversite cadi ayyad marrakech-maroc,cristallographie,11,407,15,6,166,6,20,None
Said Boujrouf,Professeur de Géographie à l'Université Cadi Ayyad Marrakech Maroc,"Géographie, tourisme, développement territorial, Montagne, Maroc",13,396,15,8,229,7,20,FSTG
Lahcen boukhattem,UCA,Efficacité énergétique dans le bâtiment,9,391,9,7,354,7,20,None
Abdelmajid ALMAGGOUSSI,Univesity cadi-ayyad,"semiconductor devices, optoelectronics",12,389,17,10,301,12,20,None
Lakhel  El Hassan,Cadi Ayyad University,Stochastic differential Equations,11,373,15,9,279,9,20,Other
Mohamed EL YAMANI,"Professor, Biology & Environmental Engineering,Cadi Ayyad University","Environment, Ecology, Plant Physiology, Agrifoods, Wastewater treatment",12,372,14,12,371,14,20,FSTG
Hafid ACHTAK,"Professeur de Génétique, Faculté Poly disciplinaire de Safi,Université Cadi Ayyad,","Agrodiversité, Ressources Phytogénétiques, Ecotoxicologie",10,369,10,8,257,8,20,FPS
EL Houssine EL Mazoudi,"Professeur d'informatique,Université Cadi Ayyad","Mathématiques appliquées, Informatique, Automatique, ressources naturelles",6,357,3,3,138,2,20,FSTG
M.aytougougdal Gougdal,université cadi ayyad,géologie,9,333,8,7,120,5,20,Other
Samir Iraoui,Cadi ayyad university,"Theoretical physics, Gravitational Physics, Cosmology, General Relativity, High Energy PhysicsConformal Field Theory",8,332,8,8,325,8,12,Other
Youssef Darouassi,"Faculty of medecine,Cadi Ayyad University Marrakech",ENT,9,331,9,8,242,4,20,FMPM
Ouafa Cherifi,"Professeur d'Algologie,Université Cadi Ayyad",Biodiversité et Biotechnologie algale,10,331,11,9,229,8,20,FMPM
Madiafi Mohammed,Université Cadi Ayyad Marrakech,"Artificial Intelligence, Internet Of Things",5,326,2,3,263,2,10,Other
Mohy-eddine Khadiri,Cadi Ayyad University,Electrochemistry,10,322,10,9,309,9,20,Other
Mohamed ILSOUK,"PhD,Cadi Ayyad University, Faculty of Sciences and Techniques,","Polymer and Nanocomposites Materials, Materials Science, Chemistry",9,320,9,9,317,9,13,FSTG
Abdessamad Elboushaki,"Professor, Faculty of Science and Technology,Cadi Ayyad University","Computer Vision, Pattern Recognition, Machine Learning",7,317,7,7,300,7,20,FSTG
Zouhair Elamrani Abou Elassad,"Professor of Computer Science,Cadi Ayyad University, Morocco","Artificial Intelligence, Machine Learning, Intelligent Environments, Data Analytics, IoT",6,311,5,6,311,5,15,FSTG
Tourani Abdelilah,"Professeur de Géologie,Université Cadi Ayyad","Sédimentologie, Ichnologie",7,310,6,6,86,4,20,FSSM
Rachida Hannane,"Professor, Faculty of Sciences Semlalia, Marrakech,University Cadi Ayyad, Marrakech","Pattern Recognition, Image and Video Processing",6,299,6,6,282,6,14,FSSM
Beraich Mustapha,Cadi Ayyad University,thin films,11,283,13,11,283,13,20,Other
El mustapha AIT BEN HASSI,Cadi Ayyad University,PDEs  Control Theory  Operator Semigroups,8,274,7,8,174,7,20,Other
Othmane EL Meslouhi,"professeur d'informatique,Université  Cadi Ayyad","machine learning, deep learning, pattern recognition, medical imaging, computer vision",8,266,8,7,230,6,20,FSTG
Abderahmane Soubkiou,"Cadi Ayyad University, Oukaimeden Observatory, High Energy Physics and Astrophysics Laboratory",Exoplanets,8,264,8,8,264,8,20,FSSM
abdelouahad zegzouti,"professeur chimie,université cadi ayyad",chimie des matériaux,10,262,10,10,256,10,20,FSTG
SOULAIMANE KALOUN,"professeur Physique-Informatique,Université Cadi Ayyad Marrakech","big data, maching learning, Deep learning",6,249,6,6,135,4,20,FSTG
Outmane Bourkoukou,Cadi Ayyad University,Artificial Intelligence,7,246,5,7,229,5,12,Other
Abdelwahed EL BATOUL,"Professor of Theoretical Physics,Cadi Ayyad University, Morocco","Theoretical physics, Nuclear Physics, Quantum Mechanics, Mathematical Physics, Computational Physics.",9,241,9,8,195,8,20,FSSM
Choukri,professeur de physiqueucammarrakech,"ferroelectricité, spectroscopie d'impédance",9,240,8,8,198,6,20,FSSM
AMRANI Mustapha,Cadi Ayyad University,"Génie Civil, géotechnique, structure, Recyclage et valorisation des déchets, traitement et stabilisation des matériaux",6,237,5,6,237,5,17,Other
Mohamed MAATALLAH,UCA,,9,232,7,8,211,7,20,None
Noureddine IDBOUFKER,"Professor,Cadi Ayyad University",Computer Sciences,10,228,11,9,181,9,20,Other
Ilham ELABOUDI,"Professeur physico-chimie des matériaux et procédés,Université Cadi Ayyad",Matériaux valorisation recyclage procédé,8,225,8,7,139,5,20,FSTG
karami fahd,"Professeur de Mathématiques,Université Cadi Ayyad",,9,225,8,9,186,8,20,FSSM
Jabrane Amaghouss,"Faculty of Law, Economic and Social Sciences-Marrakech,Cadi ayyad university",Economics,8,219,6,7,145,5,20,FLESS
Salama Aissam,"Professor - Faculty of Sciences and Technology,Cadi Ayyad University",Plant biology,7,217,7,7,196,6,11,FSSM
Fatima-ezzahra EL ABBASSI,Université cadi ayyad,,5,209,5,5,176,5,17,Other
zakaria boulghasoul,Cadi Ayyad University,Induction motor drive and sensorless control,9,206,9,7,136,6,20,Other
Abdelhafid EL ALAOUI EL FELS,Cadi Ayyad University,"GIS, Data analysis, Geoinformatic, Hydrology",9,196,9,9,196,9,20,Other
Omar Achbarou,Cadi Ayyad University,"Cloud Computing, Cloud security, IDS, Multi-Agent System",7,193,5,7,182,5,13,Other
Abdelfattah Mouabad,"Professor of Toxicology and Food Safety,Cadi Ayyad University- Marrakech","Food toxicology, Ecotoxicology, Environmental Management",6,191,4,5,98,2,20,FMPM
Mustapha Oujaoura,Université Cadi Ayyad,"Computer sciences, image and video analysis",9,187,8,5,90,2,20,Other
abdelmajid mansour,"professeur de physique,Université Cadi Ayyad",Mécanique des fluides et énergétique,5,186,4,5,49,1,10,FSSM
Ahmed Draoui,"PhD, Neurosciences, Pharmacology and Environnement Laboratory (ENPE)Cadi Ayyad University, Faculty of Sciences Semlalia,",Neurosciences,7,177,6,7,177,6,20,FSSM
mohamed belaqziz,École supérieure de Technologie d'Essaouira -Université Cadi Ayyad de Marrakech,Matériaux et procédés pour l'énergie,6,169,6,6,148,6,16,ESTE
Hind El Aakib,"PhD, Faculty of Science Semlalia,UCA","Thin films, selective absorber, metal oxide, sputtering",8,166,7,8,166,7,11,FSSM
