Article_Title,Year,Description,Revue,Volume,Number,Pages
A new integrated methodology using modified Delphi-fuzzy AHP-PROMETHEE for Geospatial Business Intelligence selection,2017,"Information Systems and e-Business Management 15, 897-925, 2017",Information Systems and e-Business Management,15,,897925
A new web-based framework development for fuzzy multi-criteria group decision-making,2016,"SpringerPlus 5 (1), 1-18, 2016",SpringerPlus,5,1,118
Multi-criteria decisional approach of the OLAP analysis by fuzzy logic: green logistics as a case study,2015,"Arabian Journal for Science and Engineering 40, 2345-2359, 2015",Arabian Journal for Science and Engineering,40,,23452359
Decision making under uncertainty using PEES–fuzzy AHP–fuzzy TOPSIS methodology for landfill location selection,2016,"Environment Systems and Decisions 36, 351-367, 2016",Environment Systems and Decisions,36,,351367
Comparative survey of association rule mining algorithms based on multiple-criteria decision analysis approach,2015,"2015 3rd International Conference on Control, Engineering & Information …, 2015",,20153,,
DM-MCDA: A web-based platform for data mining and multiple criteria decision analysis: A case study on road accident,2019,"SoftwareX 10, 100323, 2019",SoftwareX,10,,100323
An approach based on association rules mining to improve road safety in Morocco,2016,"2016 International Conference on Information Technology for Organizations …, 2016",,2016,,
An hybrid model of MCDA for the GIS: application to the localization of a site for the implantation of a dam.,2006,"WSEAS Transactions on Computers 5 (3), 515-520, 2006",WSEAS Transactions on Computers,5,3,515520
Multi-agent-based modeling for extracting relevant association rules using a multi-criteria analysis approach,2016,"Vietnam Journal of Computer Science 3, 235-245, 2016",Vietnam Journal of Computer Science,3,,235245
A tRNA suppressor mutation in human mitochondria,1998,"Nature genetics 18 (4), 350-353, 1998",Nature genetics,18,4,350353
"Genotypic stability, segregation and selection in heteroplasmic human cell lines containing np 3243 mutant mtDNA",2000,"Genetics 154 (1), 363-380, 2000",Genetics,154,1,363380
Sustainable coating material based on chitosan-clay composite and paraffin wax for slow-release DAP fertilizer,2020,"International journal of biological macromolecules 161, 492-502, 2020",International journal of biological macromolecules,161,,492502
Natural occurrence of soil-borne entomopathogenic fungi in the Moroccan Endemic forest of Argania spinosa and their pathogenicity to Ceratitis capitata,2011,"World Journal of Microbiology and Biotechnology 27, 2619-2628, 2011",World Journal of Microbiology and Biotechnology,27,,26192628
"Entomopathogenic fungus Beauveria: Host specificity, ecology and significance of morpho-molecular characterization in accurate taxonomic classification",2017,"Journal of Asia-Pacific Entomology 20 (4), 1204-1212, 2017",Journal of Asia-Pacific Entomology,20,4,12041212
Slow-release fertilizers based on starch acetate/glycerol/polyvinyl alcohol biocomposites for sustained nutrient release,2021,"Materials Today: Proceedings 36, 74-81, 2021",Materials Today: Proceedings,36,,7481
Mitochondrial gene expression during Xenopus laevis development: a molecular study.,1989,"The EMBO Journal 8 (6), 1649-1655, 1989",The EMBO Journal,8,6,16491655
Mitochondrial tRNALeu isoforms in lung carcinoma cybrid cells containing the np 3243 mtDNA mutation,1998,"Human molecular genetics 7 (13), 2141-2147, 1998",Human molecular genetics,7,13,21412147
Pathogenicity of Beauveria bassiana isolated from Moroccan Argan forests soil against larvae of Ceratitis capitata (Diptera: Tephritidae) in laboratory conditions,2014,"World Journal of Microbiology and Biotechnology 30, 959-965, 2014",World Journal of Microbiology and Biotechnology,30,,959965
Menara gardens: a Moroccan olive germplasm collection identified by a SSR locus-based genetic study,2008,"Genetic Resources and Crop Evolution 55, 893-900, 2008",Genetic Resources and Crop Evolution,55,,893900
Genetic structure of Mediterranean fruit fly (Ceratitis capitata) populations from Moroccan Endemic Forest of Argania spinosa,2010,"Int. J. Agric. Biol 12 (291298), 74, 2010",Int. J. Agric. Biol,12,291298,74
Polylactide/cellulose acetate biocomposites as potential coating membranes for controlled and slow nutrients release from water-soluble fertilizers,2021,"Progress in Organic Coatings 156, 106255, 2021",Progress in Organic Coatings,156,,106255
Poly (ε-caprolactone)-g-guar gum and poly (ε-caprolactone)-g-halloysite nanotubes as coatings for slow-release DAP fertilizer,2020,"Journal of Polymers and the Environment 28, 2078-2090, 2020",Journal of Polymers and the Environment,28,,20782090
Suppression of phenylalanine ammonia-lyase activity elicited in date palm by Fusarium oxysporum f. sp. albedinis hyphal wall elicitor,2006,"Biologia plantarum 50, 697-700, 2006",Biologia plantarum,50,,697700
"Insecticidal activity of a Moroccan strain of Streptomyces phaeochromogenes LD-37 on larvae, pupae and adults of the Mediterranean fruit fly, Ceratitis capitata (Diptera …",2017,"Bulletin of entomological research 107 (2), 217-224, 2017",Bulletin of entomological research,107,2,217224
